our,remove,internet,free,you,your,000,money,hp,george,Target
0,6,0,0,0,0,0,0,0,0,0.0 
0,0,3,0,3,0,0,0,0,12,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,2,0,0,0,0,0.0 
1,2,4,0,8,2,0,0,14,14,1.0 
6,0,0,0,0,0,0,0,3,3,0.0 
0,0,0,0,0,0,0,0,5,0,0.0 
0,0,4,0,0,0,0,0,0,0,1.0 
21,0,0,0,5,5,0,0,0,15,1.0 
0,1,0,0,1,1,0,11,13,3,1.0 
0,0,0,0,0,3,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
1,3,4,0,2,9,2,5,8,8,1.0 
0,0,0,0,0,8,0,0,8,0,0.0 
0,0,0,0,0,0,0,0,0,14,0.0 
1,0,1,0,4,1,1,0,2,2,1.0 
3,0,16,0,9,0,3,0,6,13,1.0 
0,6,3,0,0,0,0,3,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,1,6,0,0,0,0,0,0,1,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,10,0,0,0,0,0,0,10,0.0 
4,9,9,0,4,0,0,4,0,18,1.0 
0,27,0,0,0,0,0,0,0,27,0.0 
0,0,1,0,3,0,1,0,5,0,1.0 
0,0,38,0,0,0,0,0,0,0,0.0 
0,7,2,0,0,0,0,5,0,5,1.0 
0,0,2,0,0,0,0,0,0,0,0.0 
0,8,0,0,8,0,8,0,0,8,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,14,0,0,0,0,1.0 
1,0,1,0,4,1,1,0,2,2,1.0 
4,0,9,0,4,0,9,0,0,0,1.0 
27,0,0,0,0,0,0,0,0,0,0.0 
0,142,0,0,0,0,0,0,0,0,0.0 
0,0,9,0,2,0,0,0,2,4,1.0 
0,0,0,0,2,0,0,0,0,0,1.0 
0,0,4,0,8,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,7,0,0,0,0,0,0,0,0.0 
0,0,2,0,2,0,0,0,0,8,0.0 
0,0,16,0,0,0,0,0,16,0,0.0 
0,5,5,0,22,0,5,0,0,0,1.0 
0,0,2,0,4,2,0,0,0,0,1.0 
0,0,25,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,9,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,3,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,11,0,0,0.0 
0,8,0,0,8,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,5,0.0 
0,0,14,0,0,0,0,0,0,0,0.0 
0,0,0,0,4,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,3,1,0,1,0,0,0,0,0,0.0 
0,0,4,0,3,1,0,0,3,0,0.0 
0,0,0,0,10,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,2,0,3,0,0,1,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
16,0,0,0,24,0,0,0,0,0,1.0 
5,0,0,0,23,0,11,0,0,0,1.0 
0,11,0,0,0,0,0,0,0,0,0.0 
0,3,9,0,3,0,1,0,1,1,1.0 
0,0,0,0,4,0,14,0,0,0,1.0 
0,0,7,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,4,8,0,0,4,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,2,0,3,0,0,1,0,0,1.0 
1,0,0,0,4,0,0,4,0,0,1.0 
0,4,4,0,13,0,0,18,0,9,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,6,0,6,0,0,0,0,0,0.0 
0,1,1,0,0,1,0,0,1,15,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
2,2,2,0,17,2,4,4,2,28,1.0 
0,0,2,0,0,0,0,2,0,2,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,3,3,0,3,3,3,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
9,0,0,0,9,0,0,0,0,0,0.0 
0,0,2,0,5,0,0,0,2,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,23,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
4,4,4,0,0,0,4,0,0,0,1.0 
4,0,6,0,4,6,0,8,2,2,1.0 
0,3,3,0,0,3,0,7,0,3,0.0 
2,0,2,0,0,0,0,0,0,0,1.0 
0,4,0,0,4,0,0,0,0,0,1.0 
2,0,0,0,2,0,0,0,2,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,9,0,3,0,0,0,1.0 
0,0,3,0,3,0,0,0,0,0,0.0 
6,0,6,0,0,0,0,0,0,6,0.0 
0,2,0,0,2,4,0,4,0,9,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
1,0,0,0,0,0,0,0,0,5,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,16,0,3,0,0,0,0,3,1.0 
0,0,0,0,0,0,0,11,0,0,1.0 
9,0,0,0,4,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
1,3,6,0,3,0,1,0,0,4,1.0 
7,3,0,0,3,3,0,0,0,3,1.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,21,0,0,0,0,0,0.0 
3,0,16,0,9,0,3,0,6,13,1.0 
0,0,8,8,8,4,0,0,0,0,0.0 
0,0,0,0,0,1,0,0,0,1,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,16,32,0,0,0,0,0,0,0,0.0 
0,0,7,0,7,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,5,0,0,0,0,10,0,0,5,1.0 
0,0,2,0,0,0,0,0,0,0,0.0 
0,0,14,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,4,0,13,0,4,0,0,13,1.0 
0,10,10,0,20,0,10,0,0,0,1.0 
0,2,8,0,13,0,8,0,0,8,1.0 
0,4,0,0,8,0,8,0,0,4,1.0 
0,0,3,0,2,3,0,1,1,0,1.0 
0,0,0,0,5,0,5,0,5,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,4,0,0,0,0,0.0 
0,0,10,0,5,0,0,0,0,5,1.0 
0,0,3,0,6,6,3,3,0,0,1.0 
0,0,1,0,9,1,0,0,9,0,1.0 
0,0,0,0,0,0,3,0,0,0,1.0 
0,0,6,0,0,0,0,0,0,0,0.0 
1,2,12,0,4,6,4,2,6,5,1.0 
0,0,0,0,11,0,0,0,0,11,0.0 
0,0,0,0,4,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,5,0,0,0,0,0,0.0 
0,0,0,0,7,7,0,0,0,0,0.0 
6,0,6,0,19,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,37,1.0 
0,0,7,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,3,1.0 
2,0,5,0,2,12,0,0,7,5,1.0 
0,0,3,0,0,0,0,0,0,0,0.0 
0,0,7,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,12,4,0,4,0,8,4,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,4,0,0,0,0,6,1.0 
0,0,0,0,0,6,0,6,0,0,0.0 
0,0,0,0,0,0,0,0,9,0,1.0 
0,0,32,0,32,0,0,0,0,0,0.0 
4,0,4,0,4,0,0,0,4,8,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,4,0,0,0,2,0,0,2,0.0 
0,13,5,0,0,9,0,1,3,7,1.0 
0,0,3,0,0,0,0,0,7,0,0.0 
3,0,0,0,3,3,6,0,6,6,1.0 
0,0,0,0,2,0,0,0,0,0,0.0 
2,2,0,0,5,2,0,5,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,26,0,0,0.0 
3,0,17,0,10,0,0,0,6,10,1.0 
5,0,23,0,2,0,2,0,5,0,1.0 
0,0,9,0,0,0,9,0,0,18,1.0 
0,0,0,0,0,0,0,0,0,20,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
3,0,7,0,0,0,0,0,0,7,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,30,0,0,0,0,0,0,0,0.0 
3,1,5,0,21,1,0,0,1,7,1.0 
0,11,5,0,5,5,11,11,0,0,1.0 
7,0,0,0,0,7,0,0,0,0,0.0 
0,13,0,0,13,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,1,0,2,0,1,0,0,0,1.0 
1,0,0,0,4,0,0,4,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,13,0,17,4,0,4,0,0,1.0 
0,9,0,0,0,0,0,0,0,0,1.0 
0,0,5,0,0,0,0,0,0,0,0.0 
0,0,21,0,10,0,0,0,0,0,0.0 
0,0,7,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,7,0,7,0,5,5,0,10,1.0 
0,0,6,0,6,0,0,0,0,0,0.0 
0,0,0,0,0,12,0,6,0,0,1.0 
12,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,4,0,9,0,0,0,4,0,1.0 
0,0,3,0,3,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
11,3,5,0,0,9,1,1,13,3,1.0 
0,0,0,0,0,2,0,2,0,0,0.0 
0,0,5,0,0,0,0,0,0,0,0.0 
4,3,4,0,0,1,0,2,4,7,1.0 
0,2,2,0,2,0,0,2,0,0,0.0 
0,0,0,0,0,10,0,0,0,0,1.0 
0,0,5,0,2,5,5,2,0,2,0.0 
0,0,1,0,2,0,0,0,0,0,1.0 
12,0,8,0,0,0,4,0,0,4,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
1,0,0,0,1,0,0,0,7,0,0.0 
0,1,0,0,0,0,1,5,0,1,1.0 
0,0,9,0,0,0,0,0,0,9,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
4,0,8,0,4,13,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,1,0,3,2,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,2,0,0,4,0,2,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,13,5,0,0,9,0,1,3,7,1.0 
0,0,0,0,6,0,0,0,0,0,0.0 
0,0,19,0,9,0,0,0,0,0,0.0 
0,0,11,0,1,0,0,0,0,1,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,4,0,4,0,9,4,1.0 
0,0,2,0,17,0,0,0,0,0,0.0 
5,0,10,0,5,0,0,0,0,0,0.0 
0,0,5,0,11,0,1,0,0,0,1.0 
0,0,6,0,6,0,0,0,0,0,0.0 
0,4,4,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,15,0,0,0,0,3,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,12,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,16,0,16,0,16,0,0,0,1.0 
0,0,6,0,0,6,0,0,0,0,1.0 
0,0,0,0,3,0,0,0,0,0,0.0 
4,4,3,0,1,1,0,0,5,6,1.0 
0,0,7,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
4,0,0,0,0,0,0,0,0,0,0.0 
3,0,12,0,15,9,6,9,3,3,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
2,0,2,0,0,4,2,0,0,4,1.0 
14,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,12,0.0 
0,0,0,0,0,0,17,0,0,0,0.0 
0,0,2,0,2,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
3,1,5,0,3,2,0,12,4,4,1.0 
0,0,0,0,6,0,0,0,0,6,0.0 
23,0,0,0,0,0,23,0,23,0,1.0 
0,0,4,0,1,1,0,1,0,0,0.0 
0,0,0,0,0,0,0,0,0,42,1.0 
0,0,0,0,5,0,0,0,0,0,0.0 
0,0,4,0,0,4,0,0,0,0,0.0 
0,11,0,0,0,0,0,0,11,0,0.0 
0,142,0,0,0,0,0,0,0,0,0.0 
1,0,0,0,0,0,1,0,0,0,1.0 
0,0,8,0,4,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
3,4,7,0,0,2,0,0,1,10,1.0 
0,0,0,0,0,0,0,17,0,0,0.0 
0,0,0,0,0,0,0,0,0,24,0.0 
0,41,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,7,0,0,0,0,0.0 
0,0,0,0,0,4,0,0,0,0,0.0 
0,0,0,0,0,0,0,4,6,0,0.0 
0,0,0,0,12,0,0,6,0,6,1.0 
0,0,0,0,0,0,0,20,0,0,1.0 
1,2,10,0,8,8,5,0,8,1,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,2,4,0,6,0,2,2,9,6,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,3,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,3,0,3,3,3,0,3,19,1.0 
2,0,5,0,2,0,0,0,0,0,0.0 
0,0,7,0,18,3,3,0,0,7,1.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,20,0,0,1.0 
0,0,3,0,3,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
5,4,3,0,1,0,0,1,5,8,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
1,0,0,0,0,1,0,5,0,1,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
3,0,3,0,0,0,0,0,0,0,0.0 
0,0,13,13,0,0,0,13,0,0,1.0 
0,0,0,0,1,0,0,0,0,0,0.0 
0,0,13,0,0,0,0,0,0,0,1.0 
3,0,0,0,0,3,7,0,0,3,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,12,0,0,0,0,0.0 
0,0,10,0,0,0,0,0,0,0,0.0 
1,0,1,0,0,0,0,0,11,0,0.0 
0,0,0,0,8,0,8,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,37,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,14,0,0,3,0,0,0,0,0.0 
1,0,2,0,0,0,0,0,10,0,0.0 
2,0,0,0,1,0,0,2,2,9,1.0 
0,0,8,0,2,0,0,0,0,2,0.0 
0,0,2,70,0,0,0,4,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,11,0,0,0,0,11,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
8,0,0,0,4,0,8,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,4,0,14,0,0,0,4,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,9,0,0,0,0,0,0,0,0.0 
0,0,0,0,9,0,9,0,0,0,1.0 
0,0,3,0,0,0,3,0,3,0,0.0 
0,0,0,0,8,12,4,0,0,4,1.0 
2,0,0,0,0,0,0,0,0,5,0.0 
0,2,0,0,0,2,0,4,0,0,0.0 
1,2,12,0,4,5,4,3,6,4,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
7,3,7,0,0,5,0,5,11,11,1.0 
8,0,0,0,0,0,0,0,0,0,0.0 
0,6,0,0,15,3,0,0,3,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,10,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
3,4,3,0,1,1,0,0,9,11,1.0 
0,3,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,3,0,11,0,0,0,0,7,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,4,4,0,4,0,0,4,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,22,0,0,0,0,7,0.0 
0,0,0,0,0,6,0,0,0,0,0.0 
0,0,0,0,2,0,2,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
4,0,0,0,8,0,4,28,0,12,1.0 
0,0,0,0,0,0,0,0,0,10,0.0 
0,0,5,0,1,1,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,1,6,0,3,0,1,0,2,6,1.0 
0,142,0,0,0,0,0,0,0,0,0.0 
0,0,1,0,1,1,2,2,1,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,4,4,0,4,0,0,0,0,0,1.0 
0,0,0,0,3,3,3,3,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
2,2,5,0,2,2,0,13,2,8,1.0 
5,4,2,0,1,0,0,1,5,6,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,4,0,4,0,2,0,0,0,1.0 
10,1,4,0,1,2,0,1,0,4,1.0 
0,0,8,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
7,0,0,0,7,0,7,0,7,0,1.0 
0,0,0,0,0,0,0,0,0,23,0.0 
0,0,0,0,0,5,0,0,0,0,0.0 
2,0,2,0,6,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
5,0,0,0,8,0,0,0,0,0,0.0 
5,2,4,0,0,2,0,3,3,8,1.0 
0,0,1,0,1,0,0,1,0,0,0.0 
5,0,0,0,21,0,0,5,0,10,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,2,0,6,2,0,0,1,0,0.0 
0,3,0,0,0,0,0,0,3,0,1.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,4,0,14,0,0,0,0,0,1.0 
0,0,9,0,0,0,0,0,0,0,0.0 
7,0,3,0,15,0,0,0,2,13,1.0 
0,0,0,0,24,0,0,6,0,0,1.0 
0,0,0,0,24,0,0,0,0,12,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,17,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
11,0,0,0,0,11,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
7,0,7,0,15,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
2,0,0,0,0,0,0,1,0,3,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,18,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
3,0,3,0,0,0,6,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,9,0,1.0 
0,0,0,0,0,0,0,0,0,27,0.0 
0,0,0,0,0,0,0,0,1,1,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,2,0,2,1,0,0,0,0,1.0 
0,0,11,0,0,0,0,0,0,0,0.0 
8,1,5,0,0,3,0,0,2,4,1.0 
0,11,11,0,11,0,22,0,0,0,1.0 
0,0,1,0,2,0,1,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,12,0,0,0,0,0,0.0 
0,0,0,0,0,14,0,0,0,0,0.0 
10,0,10,0,0,0,0,0,0,0,0.0 
0,9,0,0,0,0,0,0,0,0,1.0 
2,1,6,0,0,5,0,5,5,7,1.0 
7,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,6,0,0,0,0,0,0.0 
5,0,0,0,1,1,0,0,3,1,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,43,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,46,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
7,0,10,0,0,0,0,14,3,3,1.0 
0,0,0,0,0,0,0,0,0,3,1.0 
0,0,2,0,2,0,0,0,0,0,0.0 
0,0,1,0,1,0,0,0,5,0,0.0 
0,0,0,0,23,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,8,0,0,11,0,0,1.0 
1,1,2,0,0,0,0,0,0,1,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,2,2,0,2,0,0,2,0,0,0.0 
4,3,4,0,0,1,0,2,4,7,1.0 
0,0,0,0,15,7,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,11,0,0,0,0,0,0,11,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,1,0,16,1,3,5,0,0,1.0 
0,0,0,0,0,0,0,0,7,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
3,1,5,0,21,1,0,0,1,7,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,9,0,9,0,0,9,1.0 
2,0,2,0,5,0,0,0,9,6,1.0 
0,0,0,0,18,0,0,18,0,0,1.0 
0,0,0,0,7,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,7,0,0,8,0,1,0.0 
0,1,3,0,1,0,0,0,0,0,0.0 
20,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,7,0,0,1.0 
0,0,0,0,0,0,0,8,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,10,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,11,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,7,0,7,0,7,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
6,0,6,0,12,0,6,0,0,0,1.0 
2,0,4,0,0,0,2,0,0,4,0.0 
0,5,5,0,10,5,21,0,0,5,1.0 
0,142,0,0,0,0,0,0,0,0,0.0 
0,0,2,0,2,0,0,2,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,181,0.0 
0,0,0,0,0,0,12,0,0,0,1.0 
0,0,5,0,5,0,0,0,0,5,1.0 
0,0,13,0,0,0,0,0,0,0,1.0 
0,5,0,0,0,0,10,0,0,5,1.0 
0,0,0,0,0,0,0,0,0,0,1.0 
7,0,3,0,7,3,7,0,7,0,1.0 
3,0,0,0,3,0,0,0,0,0,0.0 
2,0,4,0,0,0,1,1,0,0,1.0 
0,2,0,0,2,0,0,2,0,4,0.0 
1,2,5,0,3,11,2,6,10,5,1.0 
1,2,12,0,5,6,4,1,7,7,1.0 
0,0,2,0,0,0,0,0,0,4,0.0 
0,0,0,0,5,0,10,0,0,5,1.0 
0,0,9,0,0,0,0,4,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,4,0,9,4,0,0,0,0,0.0 
2,1,3,0,0,0,0,0,0,0,1.0 
0,0,40,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,12,0.0 
